trial	target_ele	response_ele
23	37.5	10.92
32	-12.5	-31.73
53	-37.5	-37.48
67	-37.5	-38.47
95	12.5	16.83
109	-37.5	-16.9
137	37.5	30.06
165	-37.5	-17.6
178	-12.5	-21.7
191	12.5	-1.01
201	-12.5	-30.3
222	12.5	12.94
244	12.5	18.05
266	37.5	38.47
290	-37.5	-12.07
301	-12.5	-12.4
323	37.5	46.06
342	-12.5	5.45
360	37.5	40.9
373	-12.5	8.29
379	-37.5	-22.23
410	37.5	36.5
433	-37.5	-10.16
448	12.5	-8.95
464	12.5	21.07
507	-12.5	-11.31
528	12.5	21.64
567	-12.5	-10.91
598	-37.5	-26.27
610	-37.5	-32.97
644	12.5	-9.91
649	37.5	24.73
654	-37.5	-33.94
663	-12.5	23.52
674	12.5	27.52
682	12.5	-8.02
712	37.5	30.15
742	37.5	53.22
753	12.5	-8.58
758	12.5	33.78
796	-12.5	30.74
816	-12.5	1.08
827	-12.5	-10.48
842	37.5	51.13
861	-12.5	-10.97
866	-12.5	25.66
880	-12.5	-5.77
892	12.5	25.3
921	-37.5	-38.19
954	12.5	25.67
960	-12.5	-13.77
966	12.5	-12.86
997	37.5	41.7
1005	-12.5	22.62
1026	-37.5	-34.59
1035	37.5	52.16
1050	-37.5	-13.82
1056	-12.5	-11.22
1068	37.5	22.93
1085	-37.5	-33.22
1157	-12.5	-32.57
1179	-12.5	-9.96
1192	-12.5	-32.14
1206	12.5	27.59
1231	-37.5	-32.31
1248	-37.5	-11.57
1254	-37.5	-33.32
1283	37.5	21.44
1288	-37.5	-31.85
1301	-12.5	-9.74
1325	37.5	59.75
1364	37.5	26.67
